sound_id,source_url,name,username,license,duration,samplerate,channels,type,tags,description,genre_inferred,bpm,key,acoustic_electronic,voice_instrumental,music_proxy_pass,duration_pass,license_pass,analysis_available,reason
489,https://freesound.org/people/deleted_user_270/sounds/489/,DjembeCheapMicSessionUno(33).wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,0.500975,44100.0,2,wav,"[""beat"", ""beat-box"", ""beatbox"", ""box"", ""djembe"", ""resonance"", ""resonant""]",Sounds of beatboxing into a plastic djembe recorded with a cheap plastic toy microphone. ,,,,,,false,false,true,true,"duration,music_proxy"
490,https://freesound.org/people/deleted_user_270/sounds/490/,DjembeCheapMicSessionUno(34).wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,0.502313,44100.0,2,wav,"[""beat"", ""beat-box"", ""beatbox"", ""box"", ""djembe"", ""resonance"", ""resonant""]",Sounds of beatboxing into a plastic djembe recorded with a cheap plastic toy microphone. ,,,,,,false,false,true,true,"duration,music_proxy"
491,https://freesound.org/people/deleted_user_270/sounds/491/,DjembeCheapMicSessionUno(35).wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,0.501134,44100.0,2,wav,"[""beat"", ""beat-box"", ""beatbox"", ""box"", ""djembe"", ""resonance"", ""resonant""]",Sounds of beatboxing into a plastic djembe recorded with a cheap plastic toy microphone. ,,,,,,false,false,true,true,"duration,music_proxy"
492,https://freesound.org/people/deleted_user_270/sounds/492/,DjembeCheapMicSessionUno(36).wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,17.4504,44100.0,2,wav,"[""beat"", ""beat-box"", ""beatbox"", ""box"", ""djembe"", ""resonance"", ""resonant""]",Sounds of beatboxing into a plastic djembe recorded with a cheap plastic toy microphone. ,,,,,,false,false,true,true,"duration,music_proxy"
493,https://freesound.org/people/deleted_user_270/sounds/493/,RadioStatik1.wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,6.37474,44100.0,2,wav,"[""am"", ""am-radio"", ""am-static"", ""fm"", ""noise"", ""panapet"", ""panasonic"", ""radio"", ""radio-static"", ""shortwave"", ""static"", ""statik""]",Noise recorded from a blue Panasonic Panapet AM Radio. ,,,,,,false,false,true,true,"duration,music_proxy"
494,https://freesound.org/people/deleted_user_270/sounds/494/,RadioStatik2.wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,7.99952,44100.0,2,wav,"[""am"", ""am-radio"", ""am-static"", ""fm"", ""noise"", ""panapet"", ""panasonic"", ""radio"", ""radio-static"", ""shortwave"", ""static"", ""statik""]",Noise recorded from a blue Panasonic Panapet AM Radio. ,,,,,,false,false,true,true,"duration,music_proxy"
495,https://freesound.org/people/deleted_user_270/sounds/495/,RadioStatik3.wav,deleted_user_270,http://creativecommons.org/licenses/by/3.0/,8.62465,44100.0,2,wav,"[""am"", ""am-radio"", ""am-static"", ""fm"", ""noise"", ""panapet"", ""panasonic"", ""radio"", ""radio-static"", ""shortwave"", ""static"", ""statik""]",Noise recorded from a blue Panasonic Panapet AM Radio. ,,,,,,false,false,true,true,"duration,music_proxy"
496,https://freesound.org/people/Anton/sounds/496/,zakCPY.aiff,Anton,https://creativecommons.org/licenses/by/4.0/,53.313,44100.0,2,aiff,"[""clipping"", ""lunch-bag"", ""plastic"", ""squeeze""]",messing with a baggy doing squeaky things with it in front of crappy built in mike of mac. Doing it in class and of course some of my compatriots wouldn't shut up. ,,,,,,false,true,true,true,music_proxy
505,https://freesound.org/people/geekhorde/sounds/505/,ElectroDub01.wav,geekhorde,http://creativecommons.org/publicdomain/zero/1.0/,24.3744,44100.0,2,wav,"[""beat"", ""delay"", ""dub"", ""echo"", ""electronic"", ""loop"", ""slow""]",I used a circuit bent TR-707 and several outboard effects pedals to create this 40 BPM dub inflected beat.,,,,,,false,false,true,true,"duration,music_proxy"
506,https://freesound.org/people/TwistedLemon/sounds/506/,OctGuitar.wav,TwistedLemon,https://creativecommons.org/licenses/by/4.0/,13.6818,44100.0,2,wav,"[""bass"", ""distorted"", ""guitar"", ""loop"", ""pitched""]","a crunchy bass loop. made with a stratocaster guitar playing flageolets. Processing: tube compressor, Octaver, amp sim.",,,,,,false,false,true,true,"duration,music_proxy"
507,https://freesound.org/people/TwistedLemon/sounds/507/,theEnd_guitar.wav,TwistedLemon,https://creativecommons.org/licenses/by/4.0/,20.081,44100.0,2,wav,"[""distortion"", ""ending"", ""guitar"", ""reverse""]","a slow ending tune with a guitar.processing: reverse delay, DS-1, amp sim",,,,,,false,false,true,true,"duration,music_proxy"
508,https://freesound.org/people/TwistedLemon/sounds/508/,spacedOutTelephone.wav,TwistedLemon,https://creativecommons.org/licenses/by/4.0/,14.452,44100.0,2,wav,"[""doppler"", ""dtmf"", ""processed"", ""space""]","I started out with the DTMF tones of my home phone number and ended up with this.processing: Doppler, reverb, reverse.",,,,,,false,false,true,true,"duration,music_proxy"
509,https://freesound.org/people/Dante%20Tanzi/sounds/509/,GIRMI.wav,Dante Tanzi,http://creativecommons.org/licenses/sampling+/1.0/,10.8497,44100.0,2,wav,"[""fm"", ""future"", ""noise"", ""spooky""]",Something like blender noise. Sample was picked up from short composition based on FM sounds.,,,,,,false,false,true,true,"duration,music_proxy"
510,https://freesound.org/people/jenc/sounds/510/,badonk.wav,jenc,http://creativecommons.org/licenses/by/3.0/,1.25134,44100.0,1,wav,"[""field-recording"", ""machine"", ""metallic"", ""percussion""]","mono field recording made using a homemade mic
 in a machine shop of a hammer hitting metal",,,,,,false,false,true,true,"duration,music_proxy"
511,https://freesound.org/people/jenc/sounds/511/,bang.wav,jenc,http://creativecommons.org/licenses/by/3.0/,3.46175,44100.0,1,wav,"[""field-recording"", ""machine"", ""metallic"", ""percussion""]","mono field recording made using a homemade mic
 in a machine shop, metallic bang",,,,,,false,false,true,true,"duration,music_proxy"
